date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3,last3_4
2025-06-01,559352,52,352,201,34,349,044,307
2025-06-16,507392,92,392,060,17,243,299,736
2025-07-01,949246,46,246,911,69,680,261,918
2025-07-16,245324,24,324,261,71,995,084,336
2025-08-01,811852,52,852,501,42,525,512,891
,251309,9,309,871,92,316,319,
,213388,88,388,61,168,261,676,
,266227,27,227,852,544,134,747,
,669687,87,687,366,357,601,806,
,757563,63,563,325,959,273,94,
,818894,94,894,541,395,306,567,
,847377,77,377,502,686,130,16,
,558700,0,700,512,854,186,858,
,807779,79,779,236,999,614,484,
,730209,9,209,510,654,462,973,
,97863,63,863,212,907,423,398,
,669843,43,843,615,596,260,986,
,187221,21,221,380,369,235,479,
,536044,44,44,321,742,250,632,
,482962,62,962,5,616,484,939,
,718665,65,665,590,538,120,795,
,608662,62,662,372,309,40,84,
,199606,6,606,941,732,200,943,
,95867,67,867,282,123,346,977,
,407041,41,41,464,85,790,706,
,367336,36,336,210,113,314,216,
,434503,3,503,898,399,756,477,
,518504,4,504,310,164,284,264,
,530593,93,593,421,943,644,217,
,205690,90,690,607,478,850,701,
,980116,16,116,171,47,636,348,
,943598,98,598,797,277,291,542,
,803481,81,481,901,228,95,599,
,997626,26,626,785,95,713,297,
,253603,3,603,799,9,753,827,
,941395,95,395,430,563,303,755,
,607063,63,63,94,549,435,445,
,105979,79,979,614,299,311,966,
,625544,44,544,896,6,484,568,
,356757,57,757,850,584,105,849,
,251097,97,97,910,552,650,922,
,557990,90,990,143,464,127,789,
,743951,51,951,633,359,130,193,
,931446,46,446,441,673,982,729,
,727202,2,202,663,243,554,266,
,320812,12,812,460,376,990,573,
,915478,78,478,915,215,962,916,
,471782,82,782,674,317,397,377,
,260453,53,453,112,687,83,876,
,169530,30,530,622,613,840,667,
,922605,5,605,162,818,674,919,
,264872,72,872,305,196,282,28,
,125272,72,272,90,6,813,869,
,132903,3,903,996,787,396,937,
,843019,19,19,655,7,801,872,
,984906,6,906,716,706,785,517,
,87907,7,907,991,119,142,906,
,25873,73,873,734,208,3,555,
,417652,52,652,555,779,197,489,
,590417,17,417,801,956,643,775,
,297411,11,411,921,817,891,16,
,812519,19,519,473,894,435,648,
,157196,96,196,580,75,222,504,
,845093,93,93,144,119,125,938,
,375805,5,805,81,707,864,94,
,121789,89,789,645,327,221,579,
,913106,6,106,707,228,393,439,
,613106,6,106,150,371,586,67,
,484669,69,669,502,69,961,942,
,943703,3,703,755,409,714,326,
,929332,32,332,832,987,252,106,
,331583,83,583,422,713,2,848,
,436594,94,594,142,668,932,824,
,620405,5,405,531,598,340,612,
,981417,17,417,612,422,870,25,
,361807,7,807,922,855,491,62,
,319196,96,196,26,798,172,136,
,155012,12,12,62,477,362,365,
,658642,42,642,95,187,780,413,
,395919,19,919,582,898,594,135,
,970618,18,618,103,917,385,788,
