date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16พฤษภาคม2568,251309,9,309,871,92,316,319
2พฤษภาคม2568,213388,88,388,61,168,261,676
16เมษายน2568,266227,27,227,852,544,134,747
1เมษายน2568,669687,87,687,366,357,601,806
16มีนาคม2568,757563,63,563,325,959,273,94
1มีนาคม2568,818894,94,894,541,395,306,567
16กุมภาพันธ์2568,847377,77,377,502,686,130,16
1กุมภาพันธ์2568,558700,0,700,512,854,186,858
17มกราคม2568,807779,79,779,236,999,614,484
2มกราคม2568,730209,9,209,510,654,462,973
16ธันวาคม2567,97863,63,863,212,907,423,398
1ธันวาคม2567,669843,43,843,615,596,260,986
16พฤศจิกายน2567,187221,21,221,380,369,235,479
1พฤศจิกายน2567,536044,44,44,321,742,250,632
16ตุลาคม2567,482962,62,962,5,616,484,939
1ตุลาคม2567,718665,65,665,590,538,120,795
16กันยายน2567,608662,62,662,372,309,40,84
1กันยายน2567,199606,6,606,941,732,200,943
16สิงหาคม2567,95867,67,867,282,123,346,977
1สิงหาคม2567,407041,41,41,464,85,790,706
16กรกฎาคม2567,367336,36,336,210,113,314,216
1กรกฎาคม2567,434503,3,503,898,399,756,477
16มิถุนายน2567,518504,4,504,310,164,284,264
1มิถุนายน2567,530593,93,593,421,943,644,217
16พฤษภาคม2567,205690,90,690,607,478,850,701
2พฤษภาคม2567,980116,16,116,171,47,636,348
16เมษายน2567,943598,98,598,797,277,291,542
1เมษายน2567,803481,81,481,901,228,95,599
16มีนาคม2567,997626,26,626,785,95,713,297
1มีนาคม2567,253603,3,603,799,9,753,827
16กุมภาพันธ์2567,941395,95,395,430,563,303,755
1กุมภาพันธ์2567,607063,63,63,94,549,435,445
17มกราคม2567,105979,79,979,614,299,311,966
30ธันวาคม2566,625544,44,544,896,6,484,568
16ธันวาคม2566,356757,57,757,850,584,105,849
1ธันวาคม2566,251097,97,97,910,552,650,922
16พฤศจิกายน2566,557990,90,990,143,464,127,789
1พฤศจิกายน2566,743951,51,951,633,359,130,193
16ตุลาคม2566,931446,46,446,441,673,982,729
1ตุลาคม2566,727202,2,202,663,243,554,266
16กันยายน2566,320812,12,812,460,376,990,573
1กันยายน2566,915478,78,478,915,215,962,916
16สิงหาคม2566,471782,82,782,674,317,397,377
31กรกฎาคม2566,260453,53,453,112,687,83,876
16กรกฎาคม2566,169530,30,530,622,613,840,667
1กรกฎาคม2566,922605,5,605,162,818,674,919
16มิถุนายน2566,264872,72,872,305,196,282,28
1มิถุนายน2566,125272,72,272,90,6,813,869
16พฤษภาคม2566,132903,3,903,996,787,396,937
2พฤษภาคม2566,843019,19,19,655,7,801,872
16เมษายน2566,984906,6,906,716,706,785,517
1เมษายน2566,87907,7,907,991,119,142,906
16มีนาคม2566,25873,73,873,734,208,3,555
1มีนาคม2566,417652,52,652,555,779,197,489
16กุมภาพันธ์2566,590417,17,417,801,956,643,775
1กุมภาพันธ์2566,297411,11,411,921,817,891,16
17มกราคม2566,812519,19,519,473,894,435,648
30ธันวาคม2565,157196,96,196,580,75,222,504
16ธันวาคม2565,845093,93,93,144,119,125,938
1ธันวาคม2565,375805,5,805,81,707,864,94
16พฤศจิกายน2565,121789,89,789,645,327,221,579
1พฤศจิกายน2565,913106,6,106,707,228,393,439
16ตุลาคม2565,613106,6,106,150,371,586,67
1ตุลาคม2565,484669,69,669,502,69,961,942
16กันยายน2565,943703,3,703,755,409,714,326
1กันยายน2565,929332,32,332,832,987,252,106
16สิงหาคม2565,331583,83,583,422,713,2,848
1สิงหาคม2565,436594,94,594,142,668,932,824
16กรกฎาคม2565,620405,5,405,531,598,340,612
1กรกฎาคม2565,981417,17,417,612,422,870,25
16มิถุนายน2565,361807,7,807,922,855,491,62
1มิถุนายน2565,319196,96,196,26,798,172,136
16พฤษภาคม2565,155012,12,12,62,477,362,365
2พฤษภาคม2565,658642,42,642,95,187,780,413
16เมษายน2565,395919,19,919,582,898,594,135
1เมษายน2565,970618,18,618,103,917,385,788
16มีนาคม2565,737867,67,867,33,499,857,889
1มีนาคม2565,61905,5,905,72,368,342,346
17กุมภาพันธ์2565,98597,97,597,570,856,445,928
1กุมภาพันธ์2565,944308,8,308,300,619,424,855
17มกราคม2565,880159,59,159,927,317,861,195
30ธันวาคม2564,819068,68,68,365,919,794,195
16ธันวาคม2564,639235,35,235,830,976,294,765
1ธันวาคม2564,77258,58,258,827,397,404,14
16พฤศจิกายน2564,32761,61,761,574,716,482,458
1พฤศจิกายน2564,45037,37,37,952,474,583,317
16ตุลาคม2564,386372,72,372,386,29,642,957
1ตุลาคม2564,578171,71,171,832,853,613,794
16กันยายน2564,70935,35,935,906,98,170,73
1กันยายน2564,114475,75,475,792,783,21,234
16สิงหาคม2564,46750,50,750,234,216,661,603
1สิงหาคม2564,910261,61,261,691,33,70,47
16กรกฎาคม2564,556725,25,725,700,581,742,339
1กรกฎาคม2564,713517,17,517,290,737,944,145
16มิถุนายน2564,691861,61,861,170,70,544,476
1มิถุนายน2564,292972,72,972,451,936,207,239
16พฤษภาคม2564,684579,79,579,146,158,432,769
2พฤษภาคม2564,501272,72,272,180,183,61,294
16เมษายน2564,100787,87,787,560,131,432,644
1เมษายน2564,472270,70,270,52,837,553,935
16มีนาคม2564,890422,22,422,190,369,22,563
1มีนาคม2564,835538,38,538,732,908,380,518
16กุมภาพันธ์2564,424603,3,603,393,188,610,578
